Customer ID,Customer Name
CUST0001,Arjun
CUST0002,Kabir
CUST0003,Kabir
CUST0004,Myra
CUST0005,Diya
CUST0006,Rohan
CUST0007,Ishita
CUST0008,Diya
CUST0009,Diya
CUST0010,Vivaan
CUST0011,Riya
CUST0012,Rohan
CUST0013,Vivaan
CUST0014,Ayaan
CUST0015,Reyansh
CUST0016,Vihaan
CUST0017,Aarohi
CUST0018,Pari
CUST0019,Rohan
CUST0020,Kabir
CUST0021,Vihaan
CUST0022,Vihaan
CUST0023,Rohan
CUST0024,Rohan
CUST0025,Riya
CUST0026,Saanvi
CUST0027,Vihaan
CUST0028,Reyansh
CUST0029,Vihaan
CUST0030,Aarav
CUST0031,Aarav
CUST0032,Kabir
CUST0033,Ananya
CUST0034,Vihaan
CUST0035,Vihaan
CUST0036,Saanvi
CUST0037,Reyansh
CUST0038,Arjun
CUST0039,Arjun
CUST0040,Arjun
CUST0041,Vivaan
CUST0042,Aadhya
CUST0043,Arjun
CUST0044,Ishita
CUST0045,Diya
CUST0046,Kiara
CUST0047,Ayaan
CUST0048,Ishita
CUST0049,Arjun
CUST0050,Kiara
CUST0051,Vivaan
CUST0052,Ananya
CUST0053,Myra
CUST0054,Diya
CUST0055,Myra
CUST0056,Reyansh
CUST0057,Aditya
CUST0058,Aditya
CUST0059,Aadhya
CUST0060,Rohan
CUST0061,Vivaan
CUST0062,Reyansh
CUST0063,Reyansh
CUST0064,Riya
CUST0065,Aarohi
CUST0066,Reyansh
CUST0067,Ananya
CUST0068,Reyansh
CUST0069,Arjun
CUST0070,Aarohi
CUST0071,Riya
CUST0072,Reyansh
CUST0073,Saanvi
CUST0074,Aditya
CUST0075,Riya
CUST0076,Saanvi
CUST0077,Kiara
CUST0078,Ishita
CUST0079,Myra
CUST0080,Ishaan
CUST0081,Myra
CUST0082,Pari
CUST0083,Rohan
CUST0084,Saanvi
CUST0085,Kiara
CUST0086,Rohan
CUST0087,Reyansh
CUST0088,Ishaan
CUST0089,Aditya
CUST0090,Kabir
CUST0091,Diya
CUST0092,Reyansh
CUST0093,Diya
CUST0094,Ishita
CUST0095,Kiara
CUST0096,Ishaan
CUST0097,Aditya
CUST0098,Aarav
CUST0099,Vivaan
CUST0100,Vihaan
CUST0101,Diya
CUST0102,Diya
CUST0103,Rohan
CUST0104,Aarohi
CUST0105,Ayaan
CUST0106,Myra
CUST0107,Aditya
CUST0108,Ishita
CUST0109,Ishita
CUST0110,Ayaan
